name,department,product_category,salary,sales,region,date,income,score,email,value,age
郑浩,人事部,美妆,4254,1076.4,华东,1978/3/27,72899.09,21.75,mecxr@qq.com,286,40
张三,人事部,数码,5591,7225.0,西南,1978/3/27,8643.15,55.67,ujrhtgy@qq.com,469,35
黄伟,运营部,家电,26951,5097.5,华东,1978/3/27,22660.96,31.77,,415,47
赵六,人事部,数码,16487,843.87,华中,2018/2/18,73832.26,65.92,xpzwdeg@163.com,210,28
赵六,市场部,食品,29237,408.88,华东,1978/3/27,37470.76,0.24,dcmjlso@qq.com,281,51
孙丽,财务部,家电,25962,3953.42,华北,2016/5/12 08:45,68216.02,21.18,rfahmbkoi@sina.com,23,38
马宁,技术部,食品,6274,4538.6,东北,2017/11/5 14:22,16954.37,80.62,mgyjrz@qq.com,177,43
徐婷,销售部,家居,19196,9786.3,华东,2015/8/30,74094.28,28.01,iqcjaygn@gmail.com,318,55
黄伟,销售部,美妆,25579,7719.65,东北,2015/8/30,38014.31,30.76,kndau@qq.com,492,34
郑浩,运营部,数码,18308,4959.24,华东,2015/8/30,7408.12,37.23,lkhawtfbji@sina.com,52,49
刘芳,运营部,服饰,15236,4121.57,华南,2015/8/30 19:16,64899.05,84.37,loixnev@gmail.com,129,36
徐婷,财务部,数码,9104,3238.37,华北,2016/5/12,48343.72,48.6,pinawcge@sina.com,477,42
周明,运营部,家居,13296,8961.21,西南,,55832.12,69.39,ogiwuvz@qq.com,135,50
刘芳,人事部,家电,13530,5583.86,华东,1978/3/27,30374.6,32.94,ejzum@qq.com,410,29
郑浩,人事部,服饰,11523,9461.91,华南,2015/8/30,56783.13,67.17,deufyig@163.com,330,45
黄伟,技术部,家电,8154,5623.7,华南,2016/5/12 08:45,,96.24,invalid_email,216,39
陈雪,财务部,家居,6804,121.2,华中,2019/7,38157.65,80.87,qkbny@qq.com,116,47
赵六,运营部,美妆,12270,8686.85,东北,,15727.27,79.8,wurfvqka@qq.com,64,32
林强,人事部,美妆,4914,3298.13,华东,,58904.55,91.76,dnrkzuo@163.com,309,41
林强,市场部,美妆,28026,1658.84,华南,2016/5/12 08:45,52150.33,4.48,udmyb@gmail.com,253,54
刘芳,人事部,食品,19286,2998.72,华南,2017/11/5 14:22,14049.03,64.67,invalid_email,300,37
李四,运营部,数码,18287,4736.73,华中,2017/11/5 14:22,40422.37,63.69,nzhirycgbo@gmail.com,407,28
陈雪,运营部,数码,14483,7559.01,华南,,19150.05,33.38,wriglh@gmail.com,79,44
赵六,市场部,家电,13747,3259.41,华南,2017/11/5,6766.72,18.39,gjvoei@sina.com,472,52
徐婷,市场部,美妆,10027,7752.41,东北,1978/3/27,40278.75,12.5,qsnymkfiad@qq.com,96,35
孙丽,运营部,数码,4082,5007.52,华北,2018/2/18,59726.26,53.1,jdfozie@sina.com,468,48
陈雪,人事部,美妆,18622,1713.66,东北,2016/5/12 08:45,29409.95,21.13,snaclfmwv@qq.com,42,31
李四,市场部,服饰,16856,2720.91,西南,2015/8/30 19:16,32849.56,9.43,jgnqfmsdbc@sina.com,402,46
郑浩,销售部,美妆,27885,1177.23,华东,2016/5/12,52167.18,50.67,vzkudxa@163.com,311,39
陈雪,销售部,家居,16646,1893.01,华中,2016/5/12,15323.56,16.76,aybuo@gmail.com,244,43
陈雪,运营部,数码,15345,7348.27,华中,2015/8/30 19:16,10611.94,70.29,htnvepzbs@qq.com,310,51
周明,技术部,美妆,6699,2625.42,东北,2017/11/5,33293.44,1.96,ihqdoxesna@qq.com,242,34
徐婷,财务部,服饰,13352,6806.76,华北,2016/5/12,57806.87,75.57,krtgzod@gmail.com,471,49
张三,人事部,家居,7193,2581.59,东北,2017/11/5,21160.21,53.82,ezrauj@sina.com,260,36
陈雪,人事部,家电,7720,2569.3,华东,2017/11/5,59728.9,4.24,nbkrfqeuh@qq.com,426,41
高敏,市场部,美妆,26029,975.93,华北,2017/11/5,63966.0,104.33,dlgtqikw@qq.com,147,27
赵六,技术部,服饰,18122,9272.83,华中,2015/8/30,20717.12,65.24,jdsycguh@qq.com,66,55
林强,销售部,服饰,22719,5787.89,华北,2016/5/12 08:45,31171.22,56.32,pxmdvihzqu@gmail.com,108,38
李四,人事部,食品,20734,3467.56,华中,2018/2/18,37879.44,11.1,kcpyafx@sina.com,128,44
徐婷,市场部,美妆,5959,1238.51,华东,2016/5/12,58642.27,23.44,xivgshpm@gmail.com,221,33
高敏,销售部,美妆,29720,890.2,西南,2015/8/30,39325.85,31.04,kozubr@gmail.com,147,47
高敏,技术部,食品,23876,7412.03,华中,2015/8/30 19:16,49575.87,11.1,eblpnkfm@163.com,487,40
高敏,销售部,家电,29983,7918.15,华东,2017/11/5,29570.87,11.86,bmorxj@qq.com,54,52
李四,人事部,家居,29766,3474.08,东北,,48997.03,86.86,yqhbrxufo@gmail.com,415,37
林强,人事部,家居,18457,1216.26,华中,,41211.81,44.1,kyunpmwhq@qq.com,206,45
陈雪,运营部,家电,8442,8151.23,东北,,11587.13,92.93,vkfwjext@gmail.com,13,29
林强,人事部,服饰,8600,3726.05,华南,2016/5/12,29370.87,6.87,ujtka@163.com,129,50
马宁,人事部,家居,11722,9403.48,东北,2017/11/5,52082.36,30.71,xyntcgd@gmail.com,90,36
黄伟,人事部,服饰,29651,7241.56,华北,2015/8/30,23125.39,104.75,invalid_email,317,43
陈雪,财务部,家电,20524,7439.79,东北,2015/8/30 19:16,48215.18,56.78,invalid_email,119,39
徐婷,市场部,食品,24277,4660.76,华中,1978/3/27,68758.99,90.35,nmwsztg@gmail.com,375,48
马宁,人事部,家电,14833,8562.66,华中,2015/8/30,24758.87,38.51,tpfuvwnbm@qq.com,308,32
郑浩,市场部,食品,7272,7391.61,华南,1978/3/27,34760.47,48.21,gdpmszhqab@gmail.com,198,41
黄伟,销售部,家居,9223,7529.8,华南,2019/7,69048.76,105.12,invalid_email,250,53
徐婷,技术部,美妆,16614,8382.78,华北,2018/2/18,37335.42,103.47,zfxhncl@163.com,360,35
徐婷,财务部,家居,15145,3554.57,华中,2018/2/18,37082.25,55.34,invalid_email,479,46
郑浩,人事部,家电,13358,2894.85,华北,2019/7,6611.81,99.87,rzpxjbki@qq.com,251,38
张三,人事部,数码,21106,4922.45,华南,2016/5/12 08:45,7368.33,49.52,zawmie@qq.com,233,28
周明,运营部,家电,19073,2329.1,东北,2018/2/18,75358.79,65.44,trawemzfu@gmail.com,10,49
李四,财务部,数码,8915,2765.36,西南,2017/11/5 14:22,30876.82,49.61,rmywecvbxf@sina.com,243,34
马宁,财务部,家居,9570,2901.37,东北,2017/11/5 14:22,61933.08,100.44,srobjzpqc@163.com,395,51
黄伟,技术部,家居,11141,2355.05,华东,2018/2/18,79222.94,53.96,ufzjhqs@qq.com,303,42
徐婷,销售部,家居,11721,5270.97,华南,2017/11/5 14:22,39298.83,71.69,invalid_email,282,37
陈雪,人事部,家电,29734,2878.15,华中,2018/2/18,49212.25,96.18,ykwsizcejr@sina.com,378,45
孙丽,技术部,家居,4789,1335.49,东北,,71502.25,62.08,mditq@163.com,253,39
陈雪,运营部,数码,17305,9461.46,西南,2017/11/5,33222.73,42.24,brgjh@sina.com,206,47
李四,技术部,家居,22860,2909.5,华中,2015/8/30 19:16,47331.62,70.52,qcwnd@gmail.com,75,31
张三,销售部,食品,23982,8574.23,华南,2017/11/5 14:22,48977.33,9.0,jdetgsy@qq.com,177,44
徐婷,销售部,食品,11061,9711.61,华北,2015/8/30,53235.98,10.82,cuzvlnt@gmail.com,111,50
高敏,运营部,食品,14018,8313.55,华中,2016/5/12,37541.3,38.54,fqpam@qq.com,282,36
赵六,财务部,食品,26877,5886.53,华中,,13352.97,69.24,igjty@163.com,272,41
高敏,销售部,家居,29705,3111.78,西南,,71445.84,29.36,ilndkm@163.com,149,29
赵六,财务部,数码,28684,7627.23,华中,2015/8/30,31796.6,57.4,kpgqxfna@sina.com,223,48
高敏,技术部,家居,28571,1801.52,华东,,72558.5,22.29,myicov@163.com,292,33
周明,人事部,美妆,5691,8959.41,华东,2017/11/5,19703.59,71.15,bfmisroyz@163.com,476,46
李四,技术部,食品,20964,9907.84,西南,2018/2/18,63669.11,60.92,rtvnhz@qq.com,264,38
陈雪,技术部,数码,4927,1417.45,西南,2017/11/5 14:22,35246.44,72.94,ameqhjgzb@qq.com,62,43
孙丽,销售部,美妆,23951,4802.22,华北,1978/3/27,64282.28,61.09,ruenxmzdg@qq.com,497,52
林强,技术部,食品,4876,1028.49,华中,2015/8/30,8294.95,22.39,invalid_email,201,35
周明,运营部,数码,14576,2511.88,东北,2015/8/30,64906.92,11.43,umodb@gmail.com,145,49
林强,财务部,食品,14704,707.17,东北,2017/11/5 14:22,12211.55,65.08,invalid_email,76,40
陈雪,销售部,家电,29189,9407.59,华中,2015/8/30 19:16,25207.35,34.17,qiclkpev@qq.com,203,37
高敏,销售部,服饰,9732,884.83,华南,2018/2/18,19255.04,80.61,invalid_email,236,44
林强,销售部,食品,24524,2426.19,华中,2016/5/12 08:45,18549.18,33.87,onwtgurk@gmail.com,178,28
赵六,运营部,家电,22960,3824.64,华东,1978/3/27,71614.83,27.38,xaqifj@sina.com,114,51
刘芳,人事部,家电,28354,4569.22,东北,2016/5/12,28108.52,43.41,dlqbih@163.com,12,34
赵六,运营部,服饰,7499,478.01,华东,2019/7,43001.23,82.31,uefclitw@qq.com,75,47
张三,运营部,家电,14685,5717.25,华东,2017/11/5,33941.08,1.21,vbemoywuzh@163.com,270,39
黄伟,销售部,美妆,24906,4698.63,东北,2019/7,74146.53,41.24,dlzush@sina.com,343,42
高敏,运营部,家电,9847,5912.28,华北,1978/3/27,69203.26,2.55,nzrlcfmt@sina.com,11,36
吴杰,销售部,服饰,21630,5305.83,华东,2018/2/18,66995.65,89.94,ujakwgx@qq.com,489,45
马宁,财务部,家电,9809,7681.81,西南,2017/11/5,6034.35,2.82,xjhbdfkvyi@qq.com,368,31
李四,技术部,美妆,27926,8880.16,华东,2015/8/30,33881.48,-1.59,invalid_email,133,49
孙丽,销售部,食品,25534,6022.29,华中,2017/11/5,65153.98,53.49,pbxrwvisu@163.com,198,38
郑浩,财务部,数码,26762,5934.54,华北,2018/2/18,26861.0,28.27,rbsdzma@qq.com,18,43
黄伟,运营部,美妆,24823,7936.3,东北,1978/3/27,78987.28,44.42,timzxe@sina.com,296,50
张三,人事部,家居,18033,8575.09,西南,1978/3/27,76656.5,81.23,mxcvkphz@qq.com,441,35
李四,财务部,家电,19512,3390.5,西南,2016/5/12,22948.28,56.53,epvkna@sina.com,26,46
吴杰,销售部,家电,15437,2965.44,华南,2016/5/12,48519.27,48.38,skqvfpl@qq.com,149,39
黄伟,销售部,家电,10523,902.91,华东,2015/8/30,76126.56,-2.83,czjpurhov@sina.com,288,41
黄伟,财务部,美妆,8477,5949.99,华中,2016/5/12 08:45,40268.08,27.02,vgjna@gmail.com,113,34
赵六,销售部,数码,27435,3161.08,华南,2017/11/5,58084.4,70.22,atblgqj@qq.com,316,47
李四,运营部,服饰,17355,714.63,华东,2019/7,54000.08,72.73,nxsgpkhc@qq.com,174,29
李四,市场部,美妆,25378,8229.68,东北,2015/8/30 19:16,29552.48,72.74,tfodcgmbwj@163.com,93,44
马宁,技术部,数码,19340,4418.23,东北,2016/5/12 08:45,68742.3,68.13,szfviguqxd@gmail.com,329,38
陈雪,人事部,食品,11264,3633.51,西南,2018/2/18,42268.47,107.64,iuqkh@qq.com,329,52
赵六,销售部,美妆,8539,3519.59,华北,2017/11/5 14:22,73072.94,52.85,tfnukhpew@sina.com,66,36
陈雪,人事部,家电,12571,6568.81,华中,2016/5/12,24366.11,88.86,kwcnjuatdv@sina.com,350,43
王五,销售部,美妆,13698,9912.46,华北,2016/5/12,69987.77,105.16,fxhpvun@gmail.com,186,31
孙丽,销售部,家电,8896,9563.8,华南,2017/11/5,62349.62,42.16,pcbgu@163.com,115,48
周明,运营部,美妆,9104,7274.75,华北,2017/11/5,21726.61,99.03,oubwlknqx@qq.com,491,37
林强,人事部,服饰,8859,1737.69,西南,2017/11/5 14:22,49447.02,11.28,boafrj@qq.com,407,45
郑浩,财务部,家电,23220,3296.25,西南,1978/3/27,39098.63,-0.24,csmwdxit@163.com,110,39
刘芳,技术部,家电,25786,2030.29,华南,2015/8/30,73048.47,93.92,tqhkgbni@sina.com,366,42
王五,运营部,家居,26717,2841.94,东北,2016/5/12 08:45,66362.56,12.86,onvkhbdcr@qq.com,261,34
刘芳,运营部,服饰,21441,6378.68,华中,1978/3/27,51799.55,101.3,pfuoiy@gmail.com,342,47
刘芳,技术部,家居,8279,8456.61,华东,2018/2/18,70003.23,86.85,wobcvjx@163.com,194,36
吴杰,市场部,家居,23785,1040.12,华南,2017/11/5,19413.4,41.63,thkzfpm@qq.com,400,41
高敏,销售部,家居,29705,3111.78,华中,2017/11/5,51711.06,69.88,vqxdj@gmail.com,278,28
